Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/tasks,240,0,2400.0,2511.616743162502,630.2340519996505,5026.615304999723,873064.2541666667,8.250948825997522,0.0,2500,2900,3100,3400,4200,4400,4600,4800,5000,5000,5000
POST,/api/tasks,218,0,770.0,940.4310740504643,41.57979800038447,2940.8677739993436,186.0,7.494611850281084,0.0,790,1100,1500,1700,2000,2500,2700,2700,2900,2900,2900
DELETE,/api/tasks/69ba75b1cfc15ea9c122ad25,1,0,557.3346780001884,557.3346780001884,557.3346780001884,557.3346780001884,31.0,0.03437895344165635,0.0,560,560,560,560,560,560,560,560,560,560,560
GET,/api/tasks/69ba75b1cfc15ea9c122ad25,1,0,147.99563299948204,147.99563299948204,147.99563299948204,147.99563299948204,186.0,0.03437895344165635,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/api/tasks/69ba75b1cfc15ea9c122ad25,1,1,33.118362999630335,33.118362999630335,33.118362999630335,33.118362999630335,42.0,0.03437895344165635,0.03437895344165635,33,33,33,33,33,33,33,33,33,33,33
DELETE,/api/tasks/69ba75b1cfc15ea9c122ad26,1,0,555.8227370001987,555.8227370001987,555.8227370001987,555.8227370001987,31.0,0.03437895344165635,0.0,560,560,560,560,560,560,560,560,560,560,560
GET,/api/tasks/69ba75b1cfc15ea9c122ad26,1,0,146.60101299978123,146.60101299978123,146.60101299978123,146.60101299978123,186.0,0.03437895344165635,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/api/tasks/69ba75b1cfc15ea9c122ad26,1,1,36.89417599980516,36.89417599980516,36.89417599980516,36.89417599980516,42.0,0.03437895344165635,0.03437895344165635,37,37,37,37,37,37,37,37,37,37,37
DELETE,/api/tasks/69ba75b1cfc15ea9c122ad27,1,0,552.6314189992263,552.6314189992263,552.6314189992263,552.6314189992263,31.0,0.03437895344165635,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/api/tasks/69ba75b1cfc15ea9c122ad27,1,0,148.40499999991152,148.40499999991152,148.40499999991152,148.40499999991152,186.0,0.03437895344165635,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/api/tasks/69ba75b1cfc15ea9c122ad27,1,1,33.19731800002046,33.19731800002046,33.19731800002046,33.19731800002046,42.0,0.03437895344165635,0.03437895344165635,33,33,33,33,33,33,33,33,33,33,33
DELETE,/api/tasks/69ba75b1cfc15ea9c122ad28,1,0,545.2708070006338,545.2708070006338,545.2708070006338,545.2708070006338,31.0,0.03437895344165635,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/api/tasks/69ba75b1cfc15ea9c122ad28,1,0,152.09288400001242,152.09288400001242,152.09288400001242,152.09288400001242,186.0,0.03437895344165635,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/api/tasks/69ba75b1cfc15ea9c122ad28,1,1,37.287702000867284,37.287702000867284,37.287702000867284,37.287702000867284,42.0,0.03437895344165635,0.03437895344165635,37,37,37,37,37,37,37,37,37,37,37
DELETE,/api/tasks/69ba75b1cfc15ea9c122ad29,1,0,546.2632290000329,546.2632290000329,546.2632290000329,546.2632290000329,31.0,0.03437895344165635,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/api/tasks/69ba75b1cfc15ea9c122ad29,1,0,151.3619400002426,151.3619400002426,151.3619400002426,151.3619400002426,186.0,0.03437895344165635,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/api/tasks/69ba75b1cfc15ea9c122ad29,1,1,38.16640399963944,38.16640399963944,38.16640399963944,38.16640399963944,42.0,0.03437895344165635,0.03437895344165635,38,38,38,38,38,38,38,38,38,38,38
DELETE,/api/tasks/69ba75b1cfc15ea9c122ad2a,1,0,1087.5814959999843,1087.5814959999843,1087.5814959999843,1087.5814959999843,31.0,0.03437895344165635,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/tasks/69ba75b1cfc15ea9c122ad2a,1,0,152.00751200063678,152.00751200063678,152.00751200063678,152.00751200063678,186.0,0.03437895344165635,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/api/tasks/69ba75b1cfc15ea9c122ad2a,1,1,37.19844199986255,37.19844199986255,37.19844199986255,37.19844199986255,42.0,0.03437895344165635,0.03437895344165635,37,37,37,37,37,37,37,37,37,37,37
DELETE,/api/tasks/69ba75b2cfc15ea9c122ad2b,1,0,417.99164100029884,417.99164100029884,417.99164100029884,417.99164100029884,31.0,0.03437895344165635,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/api/tasks/69ba75b2cfc15ea9c122ad2b,1,0,1042.3250430003463,1042.3250430003463,1042.3250430003463,1042.3250430003463,186.0,0.03437895344165635,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
PATCH,/api/tasks/69ba75b2cfc15ea9c122ad2b,1,1,153.84785900005227,153.84785900005227,153.84785900005227,153.84785900005227,42.0,0.03437895344165635,0.03437895344165635,150,150,150,150,150,150,150,150,150,150,150
DELETE,/api/tasks/69ba75b2cfc15ea9c122ad2c,1,0,554.4049319996702,554.4049319996702,554.4049319996702,554.4049319996702,31.0,0.03437895344165635,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/api/tasks/69ba75b2cfc15ea9c122ad2c,1,0,143.22810500016203,143.22810500016203,143.22810500016203,143.22810500016203,186.0,0.03437895344165635,0.0,140,140,140,140,140,140,140,140,140,140,140
PATCH,/api/tasks/69ba75b2cfc15ea9c122ad2c,1,1,34.559458999865456,34.559458999865456,34.559458999865456,34.559458999865456,42.0,0.03437895344165635,0.03437895344165635,35,35,35,35,35,35,35,35,35,35,35
DELETE,/api/tasks/69ba75b2cfc15ea9c122ad2d,1,0,1001.8325729997741,1001.8325729997741,1001.8325729997741,1001.8325729997741,31.0,0.03437895344165635,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/tasks/69ba75b2cfc15ea9c122ad2d,1,0,554.5892910004113,554.5892910004113,554.5892910004113,554.5892910004113,186.0,0.03437895344165635,0.0,550,550,550,550,550,550,550,550,550,550,550
PATCH,/api/tasks/69ba75b2cfc15ea9c122ad2d,1,1,147.5439030000416,147.5439030000416,147.5439030000416,147.5439030000416,42.0,0.03437895344165635,0.03437895344165635,150,150,150,150,150,150,150,150,150,150,150
DELETE,/api/tasks/69ba75b2cfc15ea9c122ad2e,1,0,416.8864470002518,416.8864470002518,416.8864470002518,416.8864470002518,31.0,0.03437895344165635,0.0,420,420,420,420,420,420,420,420,420,420,420
