Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/tasks,115,0,3700.0,16210.701203400033,669.631037000272,39311.09990699997,871637.6,1.9940039692730762,0.0,3700,32000,35000,36000,38000,38000,39000,39000,39000,39000,39000
POST,/api/tasks,115,0,220.0,341.12804940003355,52.99804200012659,1139.643680000063,186.0,1.9940039692730762,0.0,220,370,470,570,850,1000,1100,1100,1100,1100,1100
DELETE,/api/tasks/69ba6b92cfc15ea9c122ac3a,1,0,29.330590999961714,29.330590999961714,29.330590999961714,29.330590999961714,31.0,0.017339164950200662,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/tasks/69ba6b92cfc15ea9c122ac3a,1,0,37.877168000250094,37.877168000250094,37.877168000250094,37.877168000250094,186.0,0.017339164950200662,0.0,38,38,38,38,38,38,38,38,38,38,38
PATCH,/api/tasks/69ba6b92cfc15ea9c122ac3a,1,1,36.656403000051796,36.656403000051796,36.656403000051796,36.656403000051796,42.0,0.017339164950200662,0.017339164950200662,37,37,37,37,37,37,37,37,37,37,37
DELETE,/api/tasks/69ba6b92cfc15ea9c122ac3b,1,0,188.56455800005278,188.56455800005278,188.56455800005278,188.56455800005278,31.0,0.017339164950200662,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/tasks/69ba6b92cfc15ea9c122ac3b,1,0,24.443201999929443,24.443201999929443,24.443201999929443,24.443201999929443,186.0,0.017339164950200662,0.0,24,24,24,24,24,24,24,24,24,24,24
PATCH,/api/tasks/69ba6b92cfc15ea9c122ac3b,1,1,27.414767999744072,27.414767999744072,27.414767999744072,27.414767999744072,42.0,0.017339164950200662,0.017339164950200662,27,27,27,27,27,27,27,27,27,27,27
DELETE,/api/tasks/69ba6b92cfc15ea9c122ac3c,1,0,69.45529500035263,69.45529500035263,69.45529500035263,69.45529500035263,31.0,0.017339164950200662,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/api/tasks/69ba6b92cfc15ea9c122ac3c,1,0,77.10173200030113,77.10173200030113,77.10173200030113,77.10173200030113,186.0,0.017339164950200662,0.0,77,77,77,77,77,77,77,77,77,77,77
